,Country Name,Country Code,Series Name,2018,2019
0,Argentina,ARG,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,1
1,Argentina,ARG,A woman can be head of household in the same way as a man (1=yes; 0=no),1,1
2,Argentina,ARG,A woman can choose where to live in the same way as a man (1=yes; 0=no),1,1
3,Argentina,ARG,A woman can get a job in the same way as a man (1=yes; 0=no),1,1
4,Argentina,ARG,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),1,1
5,Argentina,ARG,A woman can open a bank account in the same way as a man (1=yes; 0=no),1,1
6,Argentina,ARG,A woman can register a business in the same way as a man (1=yes; 0=no),1,1
7,Argentina,ARG,A woman can sign a contract in the same way as a man (1=yes; 0=no),1,1
8,Argentina,ARG,A woman can travel outside her home in the same way as a man (1=yes; 0=no),1,1
9,Argentina,ARG,A woman can travel outside the country in the same way as a man (1=yes; 0=no),1,1
10,Argentina,ARG,A woman has the same rights to remarry as a man (1=yes; 0=no),1,1
11,Argentina,ARG,"Access to anti-retroviral drugs, female (%)",73,75
12,Argentina,ARG,"Access to anti-retroviral drugs, male (%)",60,62
20,Argentina,ARG,Age dependency ratio (% of working-age population),55.9544729116194,55.8570334548352
21,Argentina,ARG,"Age population, age 0, female, interpolated",367796,365277
22,Argentina,ARG,"Age population, age 0, male, interpolated",381971,379410
23,Argentina,ARG,"Age population, age 01, female, interpolated",367787,366879
24,Argentina,ARG,"Age population, age 01, male, interpolated",381843,380945
25,Argentina,ARG,"Age population, age 02, female, interpolated",367338,367669
26,Argentina,ARG,"Age population, age 02, male, interpolated",381284,381664
27,Argentina,ARG,"Age population, age 03, female, interpolated",369125,367740
28,Argentina,ARG,"Age population, age 03, male, interpolated",383117,381663
29,Argentina,ARG,"Age population, age 04, female, interpolated",366820,368356
30,Argentina,ARG,"Age population, age 04, male, interpolated",380658,382279
31,Argentina,ARG,"Age population, age 05, female, interpolated",364442,366559
32,Argentina,ARG,"Age population, age 05, male, interpolated",378136,380365
55,Argentina,ARG,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0.785000026226044,0.779999971389771
56,Argentina,ARG,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0.370999991893768,0.368000000715256
57,Argentina,ARG,"Cost of business start-up procedures, female (% of GNI per capita)",5.3,5
58,Argentina,ARG,"Cost of business start-up procedures, male (% of GNI per capita)",5.3,5
59,Argentina,ARG,Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),0,0
78,Argentina,ARG,Dismissal of pregnant workers is prohibited (1=yes; 0=no),1,1
95,Argentina,ARG,"Employers, female (% of female employment) (modeled ILO estimate)",2.6159999370575,2.60899996757507
96,Argentina,ARG,"Employers, male (% of male employment) (modeled ILO estimate)",4.86399984359741,4.86399984359741
97,Argentina,ARG,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",0.0579999983310699,0.0489999987185001
98,Argentina,ARG,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",0.122000001370907,0.123999997973442
99,Argentina,ARG,"Employment in industry, female (% of female employment) (modeled ILO estimate)",9.13599967956543,8.82900047302246
100,Argentina,ARG,"Employment in industry, male (% of male employment) (modeled ILO estimate)",31.3059997558594,30.6809997558594
101,Argentina,ARG,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.8059997558594,91.1220016479492
102,Argentina,ARG,"Employment in services, male (% of male employment) (modeled ILO estimate)",68.5709991455078,69.1949996948242
103,Argentina,ARG,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",45.4669990539551,45.1809997558594
104,Argentina,ARG,"Employment to population ratio, 15+, female (%) (national estimate)",44.3186988830566,44.9243011474609
105,Argentina,ARG,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",66.822998046875,66.2310028076172
106,Argentina,ARG,"Employment to population ratio, 15+, male (%) (national estimate)",65.1820983886719,64.8563003540039
107,Argentina,ARG,"Employment to population ratio, 15+, total (%) (national estimate)",54.1002006530762,54.3549003601074
108,Argentina,ARG,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",22.8409996032715,22.2290000915527
109,Argentina,ARG,"Employment to population ratio, ages 15-24, female (%) (national estimate)",23.5659999847412,22.8808002471924
110,Argentina,ARG,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",36.1389999389648,35.1399993896484
111,Argentina,ARG,"Employment to population ratio, ages 15-24, male (%) (national estimate)",36.5980987548828,34.7809982299805
112,Argentina,ARG,"Employment to population ratio, ages 15-24, total (%) (national estimate)",30.0561008453369,28.9179000854492
118,Argentina,ARG,Female and male surviving spouses have equal rights to inherit assets (1=yes; 0=no),1,1
126,Argentina,ARG,Female migrants (% of international migrant stock),..,53.9706870551892
130,Argentina,ARG,Female share of employment in senior and middle management (%),33.1800003051758,33.1399993896484
152,Argentina,ARG,GDP (current US$),519871519807.795,449663446954.073
153,Argentina,ARG,GDP growth (annual %),-2.48179244509274,-2.16295212091666
154,Argentina,ARG,GDP per capita (constant 2010 US$),10043.5085520823,9729.14157413904
155,Argentina,ARG,GDP per capita (Current US$),11683.9496216363,10006.1489736082
157,Argentina,ARG,"GNI per capita, Atlas method (current US$)",12390,11200
158,Argentina,ARG,"GNI per capita, PPP (current international $)",22450,22060
159,Argentina,ARG,"GNI, Atlas method (current US$)",551173003918.77,503116372238.2
182,Argentina,ARG,"Immunization, DPT (% of children ages 12-23 months)",86,86
183,Argentina,ARG,"Immunization, measles (% of children ages 12-23 months)",94,94
184,Argentina,ARG,"Incidence of HIV, ages 15-24, female (per 1,000 uninfected female population ages 15-24)",0.09,0.1
185,Argentina,ARG,"Incidence of HIV, ages 15-24, male (per 1,000 uninfected male population ages 15-24)",0.21,0.22
186,Argentina,ARG,"Incidence of HIV, ages 15-49, female (per 1,000 uninfected female population ages 15-49)",0.14,0.14
187,Argentina,ARG,"Incidence of HIV, ages 15-49, male (per 1,000 uninfected male population ages 15-49)",0.33,0.34
188,Argentina,ARG,"Inflation, consumer prices (annual %)",34.2772237131008,53.5483043492342
189,Argentina,ARG,"Informal employment, female (% of total non-agricultural employment)",48.7200012207031,49.3499984741211
190,Argentina,ARG,"Informal employment, male (% of total non-agricultural employment)",47.7000007629395,49.3699989318848
191,Argentina,ARG,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",31.8250007629395,31.4400005340576
192,Argentina,ARG,"Labor force participation rate for ages 15-24, female (%) (national estimate)",32.6279983520508,32.1254005432129
193,Argentina,ARG,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",45.8419990539551,45.4599990844727
194,Argentina,ARG,"Labor force participation rate for ages 15-24, male (%) (national estimate)",46.2383995056152,45.684700012207
195,Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",50.8219985961914,50.7210006713867
196,Argentina,ARG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",49.5227012634277,50.3017997741699
197,Argentina,ARG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",59.0190010070801,59.0050010681152
198,Argentina,ARG,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",72.8119964599609,72.7300033569336
199,Argentina,ARG,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",71.0066986083984,71.4101028442383
200,Argentina,ARG,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",79.6959991455078,79.6949996948242
201,Argentina,ARG,"Labor force with advanced education, female (% of female working-age population with advanced education)",75.388298034668,76.2611999511719
202,Argentina,ARG,"Labor force with advanced education, male (% of male working-age population with advanced education)",86.043701171875,86.6816024780273
203,Argentina,ARG,"Labor force with basic education, female (% of female working-age population with basic education)",33.8059005737305,34.4096984863281
204,Argentina,ARG,"Labor force with basic education, male (% of male working-age population with basic education)",62.8517990112305,62.5968017578125
205,Argentina,ARG,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",55.8326988220215,55.771598815918
206,Argentina,ARG,"Labor force with intermediate education, male (% of male working-age population with intermediate education)",77.8347015380859,78.245002746582
207,Argentina,ARG,"Labor force, female",8837952,8924503
208,Argentina,ARG,"Labor force, female (% of total labor force)",43.0035458898206,42.9627108154406
209,Argentina,ARG,"Labor force, total",20551682,20772672
210,Argentina,ARG,Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no),1,1
211,Argentina,ARG,Law prohibits discrimination in employment based on gender (1=yes; 0=no),1,1
217,Argentina,ARG,Length of paid maternity leave (days),..,90
220,Argentina,ARG,Length of paid paternity leave (days),..,2
246,Argentina,ARG,"Mandatory retirement age, female",..,70
247,Argentina,ARG,"Mandatory retirement age, male",..,70
249,Argentina,ARG,Men and married women have equal ownership rights to immovable property (1=yes; 0=no),1,1
307,Argentina,ARG,"Mortality rate, infant, female (per 1,000 live births)",7.6,7.3
308,Argentina,ARG,"Mortality rate, infant, male (per 1,000 live births)",9.7,9.2
309,Argentina,ARG,"Mortality rate, under-5, female (per 1,000 live births)",8.6,8.2
310,Argentina,ARG,"Mortality rate, under-5, male (per 1,000 live births)",10.9,10.3
316,Argentina,ARG,"Number of infant deaths, female",2828,2684
317,Argentina,ARG,"Number of infant deaths, male",3732,3520
322,Argentina,ARG,"Number of under-five deaths, female",3197,3035
323,Argentina,ARG,"Number of under-five deaths, male",4176,3942
324,Argentina,ARG,"Own-account workers, female (% of female employment) (modeled ILO estimate)",19.1669998168945,19.3199996948242
325,Argentina,ARG,"Own-account workers, male (% of male employment) (modeled ILO estimate)",22.4720001220703,22.693000793457
326,Argentina,ARG,Paid leave is available to fathers (1=yes; 0=no),1,1
327,Argentina,ARG,Paid leave of at least 14 weeks is available to women (1=yes; 0=no),0,0
328,Argentina,ARG,"Part time employment, female (% of total part time employment)",58.3725978422681,57.1690177427238
337,Argentina,ARG,Population ages 0-14 (% of total),24.7609338351238,24.5955258782711
338,Argentina,ARG,"Population ages 0-14, female",5407790,5424934
339,Argentina,ARG,Population ages 15-64 (% of total),64.1212772887989,64.1613658498285
340,Argentina,ARG,"Population ages 15-64, female",14464449,14607508
341,Argentina,ARG,"Population ages 15-64, male",14065973,14225768
342,Argentina,ARG,"Population ages 15-64, total",28530443,28833291
343,Argentina,ARG,Population ages 65 and above (% of total),11.1177888760774,11.2431082719004
344,Argentina,ARG,"Population ages 65 and above, female",2925564,2987774
345,Argentina,ARG,"Population, female",22797803,23020216
346,Argentina,ARG,"Population, female (% of total)",51.2373484456557,51.2258022015077
347,Argentina,ARG,"Population, total",44494502,44938712
349,Argentina,ARG,Poverty headcount ratio at national poverty lines (% of population),32,35.5
352,Argentina,ARG,"Prevalence of HIV, female (% ages 15-24)",0.1,0.1
353,Argentina,ARG,"Prevalence of HIV, male (% ages 15-24)",0.1,0.1
377,Argentina,ARG,Proportion of seats held by women in national parliaments (%),38.9105058365759,40.1574803149606
380,Argentina,ARG,Proportion of women in ministerial level positions (%),25,22.7272727272727
387,Argentina,ARG,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),69.7989357071651,69.7387575007602
388,Argentina,ARG,Ratio of female to male labor force participation rate (%) (national estimate),69.7437033885284,70.4407328524503
389,Argentina,ARG,Ratio of female to male youth unemployment rate (% ages 15-24) (modeled ILO estimate),133.374275034514,129.062955614881
390,Argentina,ARG,Ratio of female to male youth unemployment rate (%) (national estimate),133.211828577205,120.569561809202
391,Argentina,ARG,"Retirement age with full benefits, female",..,60
392,Argentina,ARG,"Retirement age with full benefits, male",..,65
417,Argentina,ARG,"Self-employed, female (% of female employment) (modeled ILO estimate)",22.568000793457,22.7099990844727
418,Argentina,ARG,"Self-employed, male (% of male employment) (modeled ILO estimate)",27.7059993743896,27.9249992370605
433,Argentina,ARG,"Share of youth not in education, employment or training, female (% of female youth population)",22.4904003143311,21.6935997009277
434,Argentina,ARG,"Share of youth not in education, employment or training, male (% of male youth population)",15.5270004272461,16.8330993652344
437,Argentina,ARG,Sons and daughters have equal rights to inherit assets from their parents (1=yes; 0=no),1,1
438,Argentina,ARG,"Start-up procedures to register a business, female (number)",11,12
439,Argentina,ARG,"Start-up procedures to register a business, male (number)",11,12
446,Argentina,ARG,The ages at which men and women can retire with full pension benefits are equal (1=yes; 0=no),0,0
447,Argentina,ARG,The ages at which men and women can retire with partial pension benefits are equal (1=yes; 0=no),1,1
448,Argentina,ARG,The government administers 100% of maternity leave benefits (1=yes; 0=no),1,1
449,Argentina,ARG,The law grants spouses equal administrative authority over assets during marriage (1=yes; 0=no),1,1
450,Argentina,ARG,The law prohibits discrimination in access to credit based on gender (1=yes; 0=no),0,0
451,Argentina,ARG,The law provides for the valuation of nonmonetary contributions (1=yes; 0=no),1,1
452,Argentina,ARG,The mandatory retirement age for men and women are equal (1=yes; 0=no),1,1
453,Argentina,ARG,There are periods of absence due to child care accounted for in pension benefits (1=yes; 0=no),0,0
454,Argentina,ARG,There is legislation on sexual harassment in employment (1=yes; 0=no),1,1
455,Argentina,ARG,There is legislation specifically addressing domestic violence (1=yes; 0=no),1,1
456,Argentina,ARG,There is no legal provision that requires a married woman to obey her husband (1=yes; 0=no),1,1
457,Argentina,ARG,There is paid parental leave (1=yes; 0=no),0,0
458,Argentina,ARG,"Time required to start a business, female (days)",11,11.5
459,Argentina,ARG,"Time required to start a business, male (days)",11,11.5
460,Argentina,ARG,"Time-related underemployment, female (% of employment)",15.9305000305176,17.6795997619629
461,Argentina,ARG,"Time-related underemployment, male (% of employment)",10.4373998641968,12.3010997772217
464,Argentina,ARG,"Unemployment with advanced education, female (% of female labor force with advanced education)",4.20120000839233,4.39510011672974
465,Argentina,ARG,"Unemployment with advanced education, male (% of male labor force with advanced education)",2.8814001083374,3.17950010299683
466,Argentina,ARG,"Unemployment with basic education, female (% of female labor force with basic education)",13.1526002883911,13.8654003143311
467,Argentina,ARG,"Unemployment with basic education, male (% of male labor force with basic education)",9.98770046234131,11.4734001159668
468,Argentina,ARG,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",13.2496995925903,13.3650999069214
469,Argentina,ARG,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",8.58730030059814,9.53800010681152
470,Argentina,ARG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",10.5380001068115,10.9219999313354
471,Argentina,ARG,"Unemployment, female (% of female labor force) (national estimate)",10.5082998275757,10.6905002593994
472,Argentina,ARG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",8.22599983215332,8.9350004196167
473,Argentina,ARG,"Unemployment, male (% of male labor force) (national estimate)",8.20289993286133,9.17780017852783
474,Argentina,ARG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",28.2299995422363,29.2959995269775
475,Argentina,ARG,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",27.7735996246338,28.7766990661621
476,Argentina,ARG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",21.1660003662109,22.6989994049072
477,Argentina,ARG,"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",20.8491992950439,23.8673000335693
481,Argentina,ARG,"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",19.9519998431205,20.099999666214
482,Argentina,ARG,"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",22.8430001139641,23.0610007941723
483,Argentina,ARG,"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",77.431999206543,77.2900009155273
484,Argentina,ARG,"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",72.2939987182617,72.0749969482422
486,Argentina,ARG,Women are able to work in the same industries as men (1=yes; 0=no),0,0
487,Argentina,ARG,Women Business and the Law Index Score (scale 1-100),76.3,76.3
488,Argentina,ARG,Women can work in jobs deemed dangerous in the same way as men (1=yes; 0=no),0,0
489,Argentina,ARG,Women can work the same night hours as men (1=yes; 0=no),1,1
621,Argentina,ARG,Women's share of population ages 15+ living with HIV (%),32.3,32.3
624,Australia,AUS,A woman can apply for a passport in the same way as a man (1=yes; 0=no),1,1
625,Australia,AUS,A woman can be head of household in the same way as a man (1=yes; 0=no),1,1
626,Australia,AUS,A woman can choose where to live in the same way as a man (1=yes; 0=no),1,1
627,Australia,AUS,A woman can get a job in the same way as a man (1=yes; 0=no),1,1
628,Australia,AUS,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),1,1
629,Australia,AUS,A woman can open a bank account in the same way as a man (1=yes; 0=no),1,1
630,Australia,AUS,A woman can register a business in the same way as a man (1=yes; 0=no),1,1
631,Australia,AUS,A woman can sign a contract in the same way as a man (1=yes; 0=no),1,1
632,Australia,AUS,A woman can travel outside her home in the same way as a man (1=yes; 0=no),1,1
633,Australia,AUS,A woman can travel outside the country in the same way as a man (1=yes; 0=no),1,1
634,Australia,AUS,A woman has the same rights to remarry as a man (1=yes; 0=no),1,1
635,Australia,AUS,"Access to anti-retroviral drugs, female (%)",81,83
636,Australia,AUS,"Access to anti-retroviral drugs, male (%)",81,83
644,Australia,AUS,Age dependency ratio (% of working-age population),53.4850882364433,54.3130005917775
645,Australia,AUS,"Age population, age 0, female, interpolated",159460,163020
646,Australia,AUS,"Age population, age 0, male, interpolated",168339,172289
647,Australia,AUS,"Age population, age 01, female, interpolated",159893,162149
648,Australia,AUS,"Age population, age 01, male, interpolated",168716,171213
649,Australia,AUS,"Age population, age 02, female, interpolated",159953,161348
650,Australia,AUS,"Age population, age 02, male, interpolated",168728,170251
651,Australia,AUS,"Age population, age 03, female, interpolated",155722,160603
652,Australia,AUS,"Age population, age 03, male, interpolated",164091,169382
653,Australia,AUS,"Age population, age 04, female, interpolated",156885,158046
654,Australia,AUS,"Age population, age 04, male, interpolated",165294,166556
655,Australia,AUS,"Age population, age 05, female, interpolated",157510,158443
656,Australia,AUS,"Age population, age 05, male, interpolated",165949,166943
679,Australia,AUS,"Contributing family workers, female (% of female employment) (modeled ILO estimate)",0.226999998092651,0.216000005602837
680,Australia,AUS,"Contributing family workers, male (% of male employment) (modeled ILO estimate)",0.158000007271767,0.152999997138977
681,Australia,AUS,"Cost of business start-up procedures, female (% of GNI per capita)",0.7,0.7
682,Australia,AUS,"Cost of business start-up procedures, male (% of GNI per capita)",0.7,0.7
683,Australia,AUS,Criminal penalties or civil remedies exist for sexual harassment in employment (1=yes; 0=no),1,1
702,Australia,AUS,Dismissal of pregnant workers is prohibited (1=yes; 0=no),1,1
719,Australia,AUS,"Employers, female (% of female employment) (modeled ILO estimate)",3.83599996566772,3.78999996185303
720,Australia,AUS,"Employers, male (% of male employment) (modeled ILO estimate)",7.53299999237061,7.46000003814697
721,Australia,AUS,"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",1.67499995231628,1.63100004196167
722,Australia,AUS,"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",3.43499994277954,3.36700010299683
723,Australia,AUS,"Employment in industry, female (% of female employment) (modeled ILO estimate)",8.14900016784668,8.08899974822998
724,Australia,AUS,"Employment in industry, male (% of male employment) (modeled ILO estimate)",30.0860004425049,29.9899997711182
725,Australia,AUS,"Employment in services, female (% of female employment) (modeled ILO estimate)",90.1760025024414,90.2799987792969
726,Australia,AUS,"Employment in services, male (% of male employment) (modeled ILO estimate)",66.4789962768555,66.6419982910156
727,Australia,AUS,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",57.1720008850098,57.0870018005371
728,Australia,AUS,"Employment to population ratio, 15+, female (%) (national estimate)",57.2773017883301,57.8638000488281
729,Australia,AUS,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",67.2910003662109,67.1600036621094
730,Australia,AUS,"Employment to population ratio, 15+, male (%) (national estimate)",67.2133026123047,67.418701171875
731,Australia,AUS,"Employment to population ratio, 15+, total (%) (national estimate)",62.1549987792969,62.5550003051758
732,Australia,AUS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",60.0040016174316,59.5099983215332
733,Australia,AUS,"Employment to population ratio, ages 15-24, female (%) (national estimate)",60.3202018737793,60.7701988220215
734,Australia,AUS,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",58.9869995117188,58.5859985351563
