,Country Name,Country Code,Series Name,2018,2019,Age,Gender
21,Argentina,ARG,"Age population, age 0, female, interpolated",367796,365277,0,Female
645,Australia,AUS,"Age population, age 0, female, interpolated",159460,163020,0,Female
1269,Brazil,BRA,"Age population, age 0, female, interpolated",1438921,1422845,0,Female
1893,Canada,CAN,"Age population, age 0, female, interpolated",188712,193067,0,Female
2517,China,CHN,"Age population, age 0, female, interpolated",7888935,7745542,0,Female
3141,France,FRA,"Age population, age 0, female, interpolated",348420,340973,0,Female
3765,Germany,DEU,"Age population, age 0, female, interpolated",394126,405170,0,Female
4389,India,IND,"Age population, age 0, female, interpolated",11175670,11385787,0,Female
5013,Indonesia,IDN,"Age population, age 0, female, interpolated",2319815,2230832,0,Female
5637,Italy,ITA,"Age population, age 0, female, interpolated",218297,212928,0,Female
6261,Japan,JPN,"Age population, age 0, female, interpolated",454029,435574,0,Female
6885,Mexico,MEX,"Age population, age 0, female, interpolated",1075413,1058054,0,Female
7509,"Korea, Rep.",KOR,"Age population, age 0, female, interpolated",173778,161213,0,Female
8133,Russian Federation,RUS,"Age population, age 0, female, interpolated",903353,875687,0,Female
8757,Saudi Arabia,SAU,"Age population, age 0, female, interpolated",288172,284443,0,Female
9381,Singapore,SGP,"Age population, age 0, female, interpolated",25376,27436,0,Female
10005,South Africa,ZAF,"Age population, age 0, female, interpolated",558296,556644,0,Female
10629,Turkey,TUR,"Age population, age 0, female, interpolated",642391,627203,0,Female
11253,United States,USA,"Age population, age 0, female, interpolated",1889074,1922530,0,Female
11877,United Kingdom,GBR,"Age population, age 0, female, interpolated",365969,363253,0,Female
22,Argentina,ARG,"Age population, age 0, male, interpolated",381971,379410,0,Male
646,Australia,AUS,"Age population, age 0, male, interpolated",168339,172289,0,Male
1270,Brazil,BRA,"Age population, age 0, male, interpolated",1507430,1489800,0,Male
1894,Canada,CAN,"Age population, age 0, male, interpolated",198667,203109,0,Male
2518,China,CHN,"Age population, age 0, male, interpolated",8863844,8701319,0,Male
3142,France,FRA,"Age population, age 0, male, interpolated",365481,357890,0,Male
3766,Germany,DEU,"Age population, age 0, male, interpolated",414214,426005,0,Male
4390,India,IND,"Age population, age 0, male, interpolated",12309129,12518937,0,Male
5014,Indonesia,IDN,"Age population, age 0, male, interpolated",2430130,2345601,0,Male
5638,Italy,ITA,"Age population, age 0, male, interpolated",231996,225949,0,Male
6262,Japan,JPN,"Age population, age 0, male, interpolated",479185,459741,0,Male
