Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Argentina,ARG,A woman can apply for a passport in the same way as a man (1=yes; 0=no),SG.APL.PSPT.EQ,1,1,..
Argentina,ARG,A woman can be head of household in the same way as a man (1=yes; 0=no),SG.HLD.HEAD.EQ,1,1,..
Argentina,ARG,A woman can choose where to live in the same way as a man (1=yes; 0=no),SG.LOC.LIVE.EQ,1,1,..
Argentina,ARG,A woman can get a job in the same way as a man (1=yes; 0=no),SG.GET.JOBS.EQ,1,1,..
Argentina,ARG,A woman can obtain a judgment of divorce in the same way as a man (1=yes; 0=no),SG.OBT.DVRC.EQ,1,1,..
Argentina,ARG,A woman can open a bank account in the same way as a man (1=yes; 0=no),SG.OPN.BANK.EQ,1,1,..
Argentina,ARG,A woman can register a business in the same way as a man (1=yes; 0=no),SG.BUS.REGT.EQ,1,1,..
Argentina,ARG,A woman can sign a contract in the same way as a man (1=yes; 0=no),SG.CNT.SIGN.EQ,1,1,..
Argentina,ARG,A woman can travel outside her home in the same way as a man (1=yes; 0=no),SG.HME.TRVL.EQ,1,1,..
Argentina,ARG,A woman can travel outside the country in the same way as a man (1=yes; 0=no),SG.CTR.TRVL.EQ,1,1,..
Argentina,ARG,A woman has the same rights to remarry as a man (1=yes; 0=no),SG.REM.RIGT.EQ,1,1,..
Argentina,ARG,"Access to anti-retroviral drugs, female (%)",SH.HIV.ARTC.FE.ZS,73,75,..
Argentina,ARG,"Access to anti-retroviral drugs, male (%)",SH.HIV.ARTC.MA.ZS,60,62,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,..,..,..
Argentina,ARG,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,..,..,..
Argentina,ARG,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..
Argentina,ARG,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..
Argentina,ARG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,62.5654,..,..
Argentina,ARG,"Age at first marriage, female",SP.DYN.SMAM.FE,..,..,..
Argentina,ARG,"Age at first marriage, male",SP.DYN.SMAM.MA,..,..,..
Argentina,ARG,Age dependency ratio (% of working-age population),SP.POP.DPND,55.9544729116194,55.8570334548352,..
Argentina,ARG,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,367796,365277,..
Argentina,ARG,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,381971,379410,..
Argentina,ARG,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,367787,366879,..
Argentina,ARG,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,381843,380945,..
Argentina,ARG,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,367338,367669,..
